kod,komunikat,bon,płeć,wiek,tryb,rok,waznosc,Nastroj1,Nastroj2,indeks_przychylności,wynik_ogólny,nastroj_diff,Nastroj1_mapped,komunikat_mapped,Nastroj1_komunikat_congruence,Nastroj1_komunikat_congruence_abs,plec_komunikat_bon,komunikat_bon,Nastroj1_komunikat_congruence_komunikat
X211,1,0,1,26,2,4,3,4,4,2.0,2.625,0,5,5,0,0,k_1_0,1_0,0_1
X212,1,0,1,31,2,4,1,4,3,3.0,3.5,-1,5,5,0,0,k_1_0,1_0,0_1
X213,1,0,1,25,2,4,5,1,3,4.0,4.625,2,1,5,-4,4,k_1_0,1_0,-4_1
X214,1,0,1,36,2,4,5,2,4,4.0,4.875,2,1,5,-4,4,k_1_0,1_0,-4_1
X215,1,0,1,31,2,4,4,2,3,4.5,4.6875,1,1,5,-4,4,k_1_0,1_0,-4_1
X216,1,0,1,44,2,4,5,2,3,4.5,4.9375,1,1,5,-4,4,k_1_0,1_0,-4_1
X217,1,0,1,26,2,4,5,2,4,5.0,4.75,2,1,5,-4,4,k_1_0,1_0,-4_1
OAR06,1,0,1,23,2,4,4,4,2,1.0,2.25,-2,5,5,0,0,k_1_0,1_0,0_1
X218,1,0,1,25,2,4,4,4,5,4.0,4.625,1,5,5,0,0,k_1_0,1_0,0_1
AMM09,1,0,1,23,2,4,3,4,4,2.0,2.875,0,5,5,0,0,k_1_0,1_0,0_1
MKD11,1,0,1,24,2,4,3,3,3,4.0,3.125,0,3,5,-2,2,k_1_0,1_0,-2_1
X219,2,0,3,30,2,4,4,4,2,2.0,3.0,-2,5,1,4,4,inna_2_0,2_0,4_2
X220,2,0,0,25,2,4,1,1,2,1.0,2.625,1,1,1,0,0,inna_2_0,2_0,0_2
MMO04,2,0,2,26,2,4,5,4,2,4.0,2.75,-2,5,1,4,4,m_2_0,2_0,4_2
X221,2,0,1,29,2,4,2,3,2,1.5,1.8125,-1,3,1,2,2,k_2_0,2_0,2_2
X222,2,0,1,25,2,4,5,1,1,1.0,2.625,0,1,1,0,0,k_2_0,2_0,0_2
X223,2,0,1,24,2,4,5,3,1,2.0,3.0,-2,3,1,2,2,k_2_0,2_0,2_2
X224,2,0,1,30,2,4,5,3,2,1.0,2.75,-1,3,1,2,2,k_2_0,2_0,2_2
X225,2,0,1,24,2,4,4,4,2,1.0,1.75,-2,5,1,4,4,k_2_0,2_0,4_2
X226,2,0,1,23,2,4,5,2,1,3.0,1.375,-1,1,1,0,0,k_2_0,2_0,0_2
X227,2,0,1,28,2,4,4,3,2,1.0,2.875,-1,3,1,2,2,k_2_0,2_0,2_2
X228,2,0,1,25,2,4,3,3,2,1.0,2.875,-1,3,1,2,2,k_2_0,2_0,2_2
X229,2,0,1,29,2,4,4,3,2,2.0,2.375,-1,3,1,2,2,k_2_0,2_0,2_2
X230,2,0,1,22,2,4,4,2,2,4.0,3.5,0,1,1,0,0,k_2_0,2_0,0_2
X231,2,0,1,53,2,4,5,4,2,4.0,4.25,-2,5,1,4,4,k_2_0,2_0,4_2
X232,2,0,1,24,2,4,4,4,3,3.0,4.25,-1,5,1,4,4,k_2_0,2_0,4_2
X233,2,0,1,31,2,4,4,4,2,2.0,2.875,-2,5,1,4,4,k_2_0,2_0,4_2
X234,2,0,1,25,2,4,5,2,2,1.5,2.3125,0,1,1,0,0,k_2_0,2_0,0_2
LR04,2,0,1,24,2,4,3,2,2,4.0,2.5,0,1,1,0,0,k_2_0,2_0,0_2
MTA05,2,0,1,41,2,4,4,3,2,3.0,2.125,-1,3,1,2,2,k_2_0,2_0,2_2
